,Customer,Date,Rating,Review Title,Review Body,New Rating
0,S.Siva Ram Kris,2020-11-07,5.0,worst battery,worst battery performanceiphone far better den thisin hour battery come percentplease dont buy product price,5
1,Tarun barath,2020-11-07,3.0,another fabulous iphone iphone blue,browser support video another beauty apple upgraded iphone x great experience latest specs flawlessly smooth thanks new bionic chipbuild quality great always applephone feels light hands due aluminium body chose blue colour wanted go different colour routine black white iphones initially bit skeptical seeing phone person happy blue colour bad flashy grip feel perfect phone comes ios camera quality excellent sufficient normal userif ios ecosystem nothing go wrong herethere nothing question quality interface apple personal opinion long time apple user know iphone comes earphones charging brick adapter bought separately apple adapter new apple india online store judge apple accessories removal price tag hope apple justify thisi hope wanted see badly made india iphones enjoy lower priced least better priced iphones futurea big thanks appario retail pvt ltd amazon delivering genuine iphone always perfect condition delivered way promised dateupdate testing days especially battery life iphone results amazing completely satisfied battery performance moderate gaming moderate video content heavy calls heavy browsing iphone battery life sufficient regular daymy conclusion definitely better improved battery performer previous iphone modelthank apple indiathank appario retail pvt ltdthank amazon india note charger brick shown video bought apple india online store comes phone,4
2,Tarun barath,2020-11-07,3.0,beast,first switch ios device using android untill disappointed build quality responsive touch display camera battery life exceptionalbeen using days consistently giving around screen timethe camera way good espeecially night mode impressed lotonly issue switching android iphone encountered able restore whatsapp chats officialfree ways thisthe phone simple amazing,5
3,S.Siva Ram Kris,2020-11-07,5.0,kidney load balancer,sold kidney bought feeling well number days alive one kidney enjoy using phone guys careful rich ok else sell something else kidney hurts,4
4,Paras,2020-11-13,5.0,one kidney,girlfriend demanded iphone uploading pics new boyfriend caption nt deserve want move difficult survive one,4
5,Amazon Customer,2020-11-21,4.0,perfect smartphone,nicely packed kudos seller much confused iphone one price iphone dropped glad chose iphone main upgrade iphone oled display boy boy screen amazing user many android flagship beats battery amazing getting days battery life usageps dont play iphone experience ios great smooth animations even though screen everything buttery camera pics phone superb flagship level camera build design phone looks feels premium compared phonesvery comfotable id face id works fast accurate low lighting good expect another software updates thats huge high may high taxes custom charger earpods mess android better managing new notificationsoverall great phone ok price,5
6,Ayush taliyan,2020-12-24,1.0,,hello writing review days usage iphone beast terms memorybuild qualitycameraprocessordisplayexcept battery rumour going iphone battery bad worst clarify doubts iphone battery last easily day condition aware using phone wifi last day easily without last day example fully charged phone last till pm happen continuously otherwise last pmhere tip buying iphone watch video youtube know save battery iphone help increase battery life well battery healthfor experience think go device without second thoughts tech knowledge thinking buying recommend go android ios complicate settings android regret buying itgot original product btw,3
7,Chetan Pamini,2020-11-08,5.0,phone joke joke us buy phone,extremely disappointed phone seemingly average phone priced times least phone joke comparison samsung flagship phone shocked many fools like falling apple trickery gimmickrythe battery last half day screen size average thickness phone constantly remind phone belongs another era space enough anyoneand apple quirks come sd card come charging brick set head phones headphones regular audio pin work one face id work masks forced remove masks vulnerable phone allow set google maps default continue suffer using apple map bet even tim cook use able set google chrome default browser ios let youoverall phone overpriced overrated anybody half wit figure phone joke mere marketing gimmick ordinary phone like cost going amazon take phone back day return policy pretty much stuck damn excuse phone till get upgrade samsung phone,5
8,Elliot,2020-11-09,4.0,really worth money,android user past years recently using iphone past months liked much wanted switch ios want regret purchased best market going iphone honestly dont feel worthy perfomance wise good lot phones like mi everything gives us nice perfomance chip tag line sell phone really going process million instructions per second mobile phone defenitely notbattery charging morning hardly getting full day average use battery almost end day screentime hours update low power mode makes hour day ending camera quality amazing natural light yes specified works nice night light please dont mistake night light nolight front camera still average things see every mid range android phones still using jio sure would work must drain even faster face detenction color phone water resistant stuffs nice fancy items really convinced get fast charging bought charger apple store plug battery takes hours reach fast charging looking well good never tried magsafe honestly doesnt seem fast charging mah batteryi wont say phone poor gives us promises personally dont recommend investing indian money either go lower versions iphones like wait year buy cheaper costpros camera perfomancecons battery cost,5
9,Anupam,2021-01-07,1.0,one better iphone iphone,like old classic iphone lookbut difference inch display bionic chipand oled hd display,4
