,Actual Rating,Rating by Review,Difference in %,Comparison
0,5.0,5,0,No Difference
1,3.0,4,25,Medium Difference
2,3.0,5,40,Medium Difference
3,5.0,4,20,Medium Difference
4,5.0,4,20,Medium Difference
5,4.0,5,20,Medium Difference
6,1.0,3,67,Medium Difference
7,5.0,5,0,No Difference
8,4.0,5,20,Medium Difference
9,1.0,4,75,Medium Difference
10,4.0,4,0,No Difference
11,5.0,5,0,No Difference
12,5.0,5,0,No Difference
13,3.0,4,25,Medium Difference
14,4.0,4,0,No Difference
15,5.0,5,0,No Difference
16,3.0,4,25,Medium Difference
17,4.0,5,20,Medium Difference
18,1.0,3,67,Medium Difference
19,5.0,5,0,No Difference
20,5.0,5,0,No Difference
21,1.0,3,67,Medium Difference
22,4.0,5,20,Medium Difference
23,5.0,5,0,No Difference
24,5.0,5,0,No Difference
25,3.0,5,40,Medium Difference
26,5.0,5,0,No Difference
27,4.0,4,0,No Difference
28,5.0,5,0,No Difference
29,5.0,5,0,No Difference
30,5.0,5,0,No Difference
31,5.0,3,40,Medium Difference
32,5.0,5,0,No Difference
33,4.0,4,0,No Difference
34,4.0,4,0,No Difference
35,5.0,4,20,Medium Difference
36,5.0,4,20,Medium Difference
37,3.0,5,40,Medium Difference
38,5.0,5,0,No Difference
39,5.0,5,0,No Difference
40,4.0,4,0,No Difference
41,5.0,5,0,No Difference
42,1.0,2,50,Medium Difference
43,5.0,5,0,No Difference
44,5.0,5,0,No Difference
45,1.0,3,67,Medium Difference
46,4.0,4,0,No Difference
47,5.0,5,0,No Difference
48,5.0,5,0,No Difference
49,3.0,5,40,Medium Difference
50,5.0,5,0,No Difference
51,5.0,5,0,No Difference
52,5.0,5,0,No Difference
53,5.0,5,0,No Difference
54,5.0,5,0,No Difference
55,3.0,4,25,Medium Difference
56,5.0,5,0,No Difference
57,5.0,5,0,No Difference
58,1.0,3,67,Medium Difference
59,4.0,4,0,No Difference
60,5.0,5,0,No Difference
61,3.0,4,25,Medium Difference
62,5.0,5,0,No Difference
63,5.0,5,0,No Difference
64,5.0,5,0,No Difference
65,5.0,5,0,No Difference
66,4.0,5,20,Medium Difference
67,1.0,5,80,Medium Difference
68,5.0,5,0,No Difference
69,5.0,5,0,No Difference
70,4.0,5,20,Medium Difference
71,3.0,5,40,Medium Difference
72,5.0,5,0,No Difference
73,3.0,5,40,Medium Difference
74,4.0,5,20,Medium Difference
75,5.0,5,0,No Difference
76,1.0,3,67,Medium Difference
77,1.0,5,80,Medium Difference
78,5.0,5,0,No Difference
79,3.0,4,25,Medium Difference
80,1.0,5,80,Medium Difference
81,5.0,5,0,No Difference
82,1.0,5,80,Medium Difference
83,5.0,4,20,Medium Difference
84,5.0,5,0,No Difference
85,3.0,4,25,Medium Difference
86,5.0,5,0,No Difference
87,3.0,4,25,Medium Difference
88,5.0,5,0,No Difference
89,5.0,5,0,No Difference
90,5.0,5,0,No Difference
91,5.0,5,0,No Difference
92,5.0,4,20,Medium Difference
93,5.0,5,0,No Difference
94,5.0,5,0,No Difference
95,5.0,5,0,No Difference
96,5.0,5,0,No Difference
97,3.0,5,40,Medium Difference
98,5.0,5,0,No Difference
99,1.0,5,80,Medium Difference
100,5.0,5,0,No Difference
101,5.0,5,0,No Difference
102,5.0,5,0,No Difference
103,2.0,4,50,Medium Difference
104,5.0,5,0,No Difference
105,1.0,5,80,Medium Difference
106,5.0,5,0,No Difference
107,3.0,3,0,No Difference
108,5.0,5,0,No Difference
109,3.0,5,40,Medium Difference
110,1.0,5,80,Medium Difference
111,5.0,5,0,No Difference
112,2.0,5,60,Medium Difference
113,5.0,5,0,No Difference
114,5.0,5,0,No Difference
115,5.0,5,0,No Difference
116,5.0,5,0,No Difference
117,5.0,5,0,No Difference
118,5.0,5,0,No Difference
119,1.0,3,67,Medium Difference
120,5.0,5,0,No Difference
121,3.0,5,40,Medium Difference
122,1.0,3,67,Medium Difference
123,3.0,5,40,Medium Difference
124,5.0,5,0,No Difference
125,1.0,5,80,Medium Difference
126,5.0,5,0,No Difference
127,4.0,5,20,Medium Difference
128,5.0,5,0,No Difference
129,5.0,5,0,No Difference
130,5.0,5,0,No Difference
131,5.0,5,0,No Difference
132,5.0,4,20,Medium Difference
133,3.0,3,0,No Difference
134,3.0,5,40,Medium Difference
135,5.0,5,0,No Difference
136,5.0,5,0,No Difference
137,5.0,5,0,No Difference
138,5.0,5,0,No Difference
139,1.0,3,67,Medium Difference
140,4.0,5,20,Medium Difference
141,5.0,5,0,No Difference
142,4.0,5,20,Medium Difference
143,5.0,5,0,No Difference
144,5.0,5,0,No Difference
145,3.0,4,25,Medium Difference
146,2.0,5,60,Medium Difference
147,5.0,5,0,No Difference
148,4.0,5,20,Medium Difference
149,2.0,4,50,Medium Difference
150,1.0,3,67,Medium Difference
151,5.0,5,0,No Difference
152,5.0,5,0,No Difference
153,5.0,5,0,No Difference
154,5.0,3,40,Medium Difference
155,5.0,5,0,No Difference
156,5.0,5,0,No Difference
157,3.0,3,0,No Difference
158,5.0,5,0,No Difference
159,5.0,5,0,No Difference
160,4.0,5,20,Medium Difference
161,5.0,5,0,No Difference
162,5.0,5,0,No Difference
163,5.0,5,0,No Difference
164,5.0,5,0,No Difference
165,4.0,5,20,Medium Difference
166,5.0,5,0,No Difference
167,4.0,5,20,Medium Difference
168,5.0,5,0,No Difference
169,3.0,5,40,Medium Difference
170,5.0,5,0,No Difference
171,5.0,5,0,No Difference
172,5.0,5,0,No Difference
173,5.0,5,0,No Difference
174,5.0,5,0,No Difference
175,5.0,5,0,No Difference
176,4.0,5,20,Medium Difference
177,5.0,5,0,No Difference
178,5.0,5,0,No Difference
179,1.0,3,67,Medium Difference
180,5.0,5,0,No Difference
181,3.0,5,40,Medium Difference
182,2.0,5,60,Medium Difference
183,5.0,5,0,No Difference
184,5.0,5,0,No Difference
185,5.0,5,0,No Difference
186,5.0,5,0,No Difference
187,5.0,5,0,No Difference
188,5.0,5,0,No Difference
189,5.0,5,0,No Difference
190,1.0,5,80,Medium Difference
191,1.0,5,80,Medium Difference
192,5.0,5,0,No Difference
193,3.0,5,40,Medium Difference
194,5.0,5,0,No Difference
195,5.0,5,0,No Difference
196,5.0,5,0,No Difference
197,5.0,5,0,No Difference
198,5.0,5,0,No Difference
199,5.0,5,0,No Difference
200,5.0,5,0,No Difference
201,4.0,3,25,Medium Difference
202,5.0,5,0,No Difference
203,3.0,4,25,Medium Difference
204,5.0,5,0,No Difference
205,3.0,5,40,Medium Difference
206,3.0,4,25,Medium Difference
207,5.0,5,0,No Difference
208,5.0,5,0,No Difference
209,4.0,5,20,Medium Difference
210,5.0,5,0,No Difference
211,5.0,5,0,No Difference
212,5.0,5,0,No Difference
213,5.0,5,0,No Difference
214,5.0,5,0,No Difference
215,5.0,5,0,No Difference
216,5.0,5,0,No Difference
217,3.0,5,40,Medium Difference
218,5.0,5,0,No Difference
219,4.0,5,20,Medium Difference
220,5.0,5,0,No Difference
221,5.0,5,0,No Difference
222,5.0,5,0,No Difference
223,4.0,5,20,Medium Difference
224,4.0,5,20,Medium Difference
225,5.0,5,0,No Difference
226,5.0,5,0,No Difference
227,5.0,4,20,Medium Difference
228,5.0,5,0,No Difference
229,3.0,5,40,Medium Difference
230,5.0,5,0,No Difference
231,2.0,5,60,Medium Difference
232,5.0,5,0,No Difference
233,5.0,5,0,No Difference
234,5.0,5,0,No Difference
235,5.0,5,0,No Difference
236,3.0,4,25,Medium Difference
237,5.0,5,0,No Difference
238,5.0,5,0,No Difference
239,5.0,5,0,No Difference
240,5.0,5,0,No Difference
241,3.0,5,40,Medium Difference
242,5.0,5,0,No Difference
243,5.0,5,0,No Difference
244,5.0,5,0,No Difference
245,5.0,5,0,No Difference
246,5.0,5,0,No Difference
247,5.0,5,0,No Difference
248,5.0,4,20,Medium Difference
249,4.0,5,20,Medium Difference
250,5.0,5,0,No Difference
251,5.0,5,0,No Difference
252,5.0,5,0,No Difference
253,3.0,4,25,Medium Difference
254,5.0,5,0,No Difference
255,5.0,4,20,Medium Difference
256,5.0,5,0,No Difference
257,5.0,5,0,No Difference
258,5.0,5,0,No Difference
259,5.0,5,0,No Difference
260,5.0,5,0,No Difference
261,5.0,5,0,No Difference
262,5.0,5,0,No Difference
263,5.0,5,0,No Difference
264,5.0,5,0,No Difference
265,3.0,5,40,Medium Difference
266,4.0,5,20,Medium Difference
267,5.0,5,0,No Difference
268,5.0,5,0,No Difference
269,5.0,5,0,No Difference
270,5.0,5,0,No Difference
271,5.0,5,0,No Difference
272,5.0,5,0,No Difference
273,5.0,5,0,No Difference
274,5.0,5,0,No Difference
275,5.0,5,0,No Difference
276,5.0,5,0,No Difference
277,3.0,5,40,Medium Difference
278,4.0,4,0,No Difference
279,5.0,5,0,No Difference
280,5.0,5,0,No Difference
281,5.0,5,0,No Difference
282,4.0,5,20,Medium Difference
283,5.0,5,0,No Difference
284,4.0,4,0,No Difference
285,4.0,5,20,Medium Difference
286,5.0,5,0,No Difference
287,5.0,5,0,No Difference
288,5.0,5,0,No Difference
289,3.0,3,0,No Difference
290,5.0,5,0,No Difference
291,4.0,5,20,Medium Difference
292,5.0,5,0,No Difference
293,5.0,5,0,No Difference
294,5.0,5,0,No Difference
295,5.0,5,0,No Difference
296,5.0,5,0,No Difference
297,5.0,5,0,No Difference
298,5.0,5,0,No Difference
299,5.0,5,0,No Difference
300,5.0,5,0,No Difference
301,3.0,5,40,Medium Difference
302,5.0,5,0,No Difference
303,1.0,5,80,Medium Difference
304,1.0,5,80,Medium Difference
305,1.0,5,80,Medium Difference
306,4.0,5,20,Medium Difference
307,1.0,5,80,Medium Difference
308,3.0,4,25,Medium Difference
309,5.0,5,0,No Difference
310,5.0,5,0,No Difference
311,5.0,5,0,No Difference
312,5.0,5,0,No Difference
313,3.0,4,25,Medium Difference
314,5.0,5,0,No Difference
315,5.0,5,0,No Difference
316,5.0,5,0,No Difference
317,1.0,5,80,Medium Difference
318,5.0,5,0,No Difference
319,5.0,5,0,No Difference
320,3.0,5,40,Medium Difference
321,5.0,5,0,No Difference
322,5.0,5,0,No Difference
323,5.0,5,0,No Difference
324,5.0,5,0,No Difference
325,3.0,5,40,Medium Difference
326,1.0,3,67,Medium Difference
327,5.0,5,0,No Difference
328,5.0,5,0,No Difference
329,5.0,5,0,No Difference
330,5.0,5,0,No Difference
331,5.0,5,0,No Difference
332,5.0,5,0,No Difference
333,5.0,5,0,No Difference
334,5.0,5,0,No Difference
335,5.0,4,20,Medium Difference
336,5.0,5,0,No Difference
337,3.0,5,40,Medium Difference
338,4.0,4,0,No Difference
339,1.0,5,80,Medium Difference
340,5.0,5,0,No Difference
341,4.0,5,20,Medium Difference
342,5.0,5,0,No Difference
343,3.0,5,40,Medium Difference
344,5.0,5,0,No Difference
345,1.0,3,67,Medium Difference
346,5.0,5,0,No Difference
347,5.0,5,0,No Difference
348,5.0,4,20,Medium Difference
349,3.0,5,40,Medium Difference
350,5.0,5,0,No Difference
351,3.0,5,40,Medium Difference
352,5.0,5,0,No Difference
353,5.0,5,0,No Difference
354,5.0,5,0,No Difference
