,Customer,Date,Rating,Review Title,Review Body
0,VM,2020-06-05,5.0,Need replacement,  Network issue on this phoneCalls not get connected at once.. have to Restart it  more often to make calls.@amazon kindly arrange replacement of it.Totally unsatisfied.
1,sajjad,2020-06-04,1.0,Nice,  Very nice lots of features.manufactred in India👌
2,gaurav,2020-07-12,1.0,The touch is not working.,"  I don't think it will be a nice decision to purchase this product. The product I received having touch issue. Can't even pick the phone, Cant unlock the phone, can't even switch off the phone."
3,Seri,2020-06-30,5.0,The phone is good...camera sucks,"  The phone is good...battery is excellent..its response is also commendable..however, its camera is not up to the mark. Images are unrealistic. a slight zooming of the clicked images is enough to reveal the flaws. Something i was not expecting with a 48mp camera."
4,Bibaswan Banerjee,2020-06-22,1.0,First Impression,  Speed is not upto the mark as 6GB RAM phone expected from Samsung. OUTPUT SOUND quality is also very ordinary.Cameras both front and rear click some nice pics...
5,Sourjya Roy,2020-06-15,3.0,Should recall this mobile from market,"  1) There is one speaker at bottom instead of two, you cannot hear even in speaker clearly.2) Mike is bad people does not hear clearly.3) it does not accept second sim during first installation if you put in second slot.4) During What’s call if you receive normal call it what’s up call voice goes low even you can’t hear.5) charging wire quality is bad even it will fast charge the mobile."
6,Mahesh Nivale,2020-06-06,2.0,Excellent product and excellent delivery service by Amazon.....Thank you so much,  excellent mobile great camera quality battery backup is good touchscreen is very smooth as usually in samsung
7,Lalit Sharma,2020-07-08,2.0,Best phone and value for money,  After few months now facing issues on calls due to mobile antenna problem.Better battery life (24 hrs) with continues usage on callsWide angle camera and primary camera are goodMacro camera is at its best giving detailsLittle heavy due to monster 5000mah batteryAudio quality is awesome with the Dolby surround option.Almost a month i had been using and it performs good
8,Mohit,2020-06-09,5.0,Very relevant and excellent product .,  It's basically a very good product .The best for daily use and decent  gaming the design is superbbb😍🔥🔥.I wrote this review from my personal experience of at least 2 or 3weeks I really loved it and hope so it will last really very long.And no lags + the Samsung Knox and other features provided by Samsung are totally awesome.
9,Prashaanth,2020-08-14,5.0,Overall good in this price,"  Performance, battery  life are good.ConsIn screen fingerprint sensor is not good, it recognize after multiple attempts and not quick as wellproduct  delivery got delay for many days due to unavailability of a guy who pickup exchange mobile. Do not buy with exchange"
10,Shubhangi bhende,2020-07-06,5.0,Worst product. It’s hanging,  Your browser does not support HTML5 video.   Really Terrible. It was hanging. I can’t switch off the phone and also can’t reset. I have shared the videos with the Review. Worst product. Don’t buy anyone this product.
11,chirag,2020-06-24,3.0,UNEXPECTED One from SAMSUNG INDIA,"  The phone came with all spectacular features but alas! it did not come with the quality. Within 6 days of buying, display got ruined. The screen turned all yellow. AMAZON's Product service team and replacement took more than 6 days to replace the product means operating 6 days without your phone. No data could be backed up nor have any guarantee of the use of the device further after they fix the display as the ID is logged in and could not do anything but handover the phone simply for the return. Not sure, who will be accountable for any security misuse or data misuse from this phone."
