,Customer,Date,Rating,Review Title,Review Body,New Rating
0,VM,2020-06-05,5.0,need replacement,network issue phonecalls get connected restart often make calls amazon kindly arrange replacement ittotally unsatisfied,3
1,sajjad,2020-06-04,1.0,nice,nice lots featuresmanufactred,3
2,gaurav,2020-07-12,1.0,touch working,nt think nice decision purchase product product received touch issue ca nt even pick phone cant unlock phone ca nt even switch phone,1
3,Seri,2020-06-30,5.0,phone good camera sucks,phone good battery excellentits response also commendablehowever camera mark images unrealistic slight zooming clicked images enough reveal flaws something expecting camera,3
4,Bibaswan Banerjee,2020-06-22,1.0,first impression,speed upto mark ram phone expected samsung output sound quality also ordinarycameras front rear click nice pics,1
5,Sourjya Roy,2020-06-15,3.0,recall mobile market,one speaker bottom instead two hear even speaker mike bad people hear accept second sim first installation put second call receive normal call call voice goes low even charging wire quality bad even fast charge mobile,5
6,Mahesh Nivale,2020-06-06,2.0,excellent product excellent delivery service amazon thank much,excellent mobile great camera quality battery backup good touchscreen smooth usually samsung,5
7,Lalit Sharma,2020-07-08,2.0,best phone value money,months facing issues calls due mobile antenna problembetter battery life hrs continues usage callswide angle camera primary camera goodmacro camera best giving detailslittle heavy due monster batteryaudio quality awesome dolby surround optionalmost month using performs good,4
8,Mohit,2020-06-09,5.0,relevant excellent product,basically good product best daily use decent gaming design wrote review personal experience least really loved hope last really longand lags samsung knox features provided samsung totally awesome,5
9,Prashaanth,2020-08-14,5.0,overall good price,performance battery life goodconsin screen fingerprint sensor good recognize multiple attempts quick wellproduct delivery got delay many days due unavailability guy pickup exchange mobile buy exchange,3
10,Shubhangi bhende,2020-07-06,5.0,worst product hanging,browser support video really terrible hanging switch phone also reset shared videos review worst product buy anyone product,5
11,chirag,2020-06-24,3.0,unexpected one samsung india,phone came spectacular features alas come quality within days buying display got ruined screen turned yellow amazon product service team replacement took days replace product means operating days without phone data could backed guarantee use device fix display id logged could anything handover phone simply return sure accountable security misuse data misuse phone,3
12,VM,2020-06-05,5.0,camera cahrging sensor network,camera camera options updated like yr options capture wirh picture blurring zoom settings avalable totally bad charger coming mobile charging mobile takes satand charging gooddisplay display good qualitysensor properly working network lte full volte network bad cost calls browsing simultaniusly cant use using samsung,5
13,sajjad,2020-06-04,1.0,galaxy,series good phone inspite configuration quadcamera getting hotter talk working also hangs call sometimesnot happy ask replacement amazon even return policy duration technical support makes round round querries justificationshope nt go,1
14,Mahee,2020-09-02,1.0,,good smooth,5
15,anuradha singh,2020-09-29,1.0,best far,quad camera beyond expectations proved personal laptop storage better camera videography photography better office biometrics face recognition thumb recognition battery like best far voice clear previous mobilesbut one thing bothered went mobile shop searching screen guard fellow cheated fixed screen guard suitable mobile supplying screen guard along mobile less like person dancing michael jackson tune tying leg backwards,3
16,RANGU MAHESH,2020-07-15,1.0,better expected,phones battery life better promise used phone nearly hours intensively also battery still remaining camera quality also goodbut good gaming dont play much games problem according go didnot experience heating issues fast enough working best phone bought till,1
17,Amazon Customer,2020-07-14,2.0,worth,good buy performance damn slow even mediatek instead go seriesi think problem software well optimised phone hardware configuration fixed tinkering kernal level root hey gon na brand new purchase better use days see return aftwerwardsbattery also major issue nt last long even full day light use goes deaddissappointed,1
18,Sandeep,2020-06-29,5.0,month review,good option price range almost month using device problems facing device heating another lags heating us main problem become extremely hot either watching netflix charging power bank nt know persistent issue day bought comes ram still fast last phone ram camera quality good battery life okayish,5
19,Amazon Customer,2020-09-15,5.0,nt buy,slow done full format full reset still slow wort spend much samsung pay options also camera worst happy,5
20,Malathy ,2020-11-08,5.0,dispute goods sale hare,amazon prime giving disputed prodact samsung else company know well kind disputed product sale amazon printed could mention fingerprint reader battery life screen quality one problems one friend buy product day retail shop problem facing like cake scroll,5
21,Apurv Choudhary,2020-08-01,1.0,make india product brand,prosos goodcamera amazimglooks goodconsprice little bit highercould around bit bulkysometimes slowanyways loving rating side,5
