,Actual Rating,Rating by Review,Difference in %,Comparison
0,5.0,3.0,40,Medium Difference
1,1.0,3.0,67,Medium Difference
2,1.0,1.0,0,No Difference
3,5.0,3.0,40,Medium Difference
4,1.0,1.0,0,No Difference
5,3.0,5.0,40,Medium Difference
6,2.0,5.0,60,Medium Difference
7,2.0,4.0,50,Medium Difference
8,5.0,5.0,0,No Difference
9,5.0,3.0,40,Medium Difference
10,5.0,5.0,0,No Difference
11,3.0,3.0,0,No Difference
12,5.0,5.0,0,No Difference
13,1.0,1.0,0,No Difference
14,1.0,5.0,80,Medium Difference
15,1.0,3.0,67,Medium Difference
16,1.0,1.0,0,No Difference
17,2.0,1.0,50,Medium Difference
18,5.0,5.0,0,No Difference
19,5.0,5.0,0,No Difference
20,5.0,5.0,0,No Difference
21,1.0,5.0,80,Medium Difference
22,4.0,3.0,25,Medium Difference
23,1.0,3.0,67,Medium Difference
24,5.0,5.0,0,No Difference
25,1.0,1.0,0,No Difference
26,1.0,3.0,67,Medium Difference
27,5.0,5.0,0,No Difference
28,3.0,5.0,40,Medium Difference
29,1.0,5.0,80,Medium Difference
30,5.0,5.0,0,No Difference
31,2.0,3.0,33,Medium Difference
32,5.0,5.0,0,No Difference
33,1.0,5.0,80,Medium Difference
34,1.0,5.0,80,Medium Difference
35,1.0,3.0,67,Medium Difference
36,5.0,5.0,0,No Difference
37,1.0,4.0,75,Medium Difference
38,3.0,5.0,40,Medium Difference
39,1.0,3.0,67,Medium Difference
40,5.0,5.0,0,No Difference
41,1.0,1.0,0,No Difference
42,1.0,1.0,0,No Difference
43,4.0,5.0,20,Medium Difference
44,1.0,3.0,67,Medium Difference
45,5.0,5.0,0,No Difference
46,4.0,5.0,20,Medium Difference
47,4.0,4.0,0,No Difference
48,5.0,4.0,20,Medium Difference
49,1.0,1.0,0,No Difference
50,2.0,3.0,33,Medium Difference
51,4.0,4.0,0,No Difference
52,1.0,1.0,0,No Difference
53,5.0,4.0,20,Medium Difference
54,3.0,4.0,25,Medium Difference
55,4.0,5.0,20,Medium Difference
56,4.0,4.0,0,No Difference
57,5.0,5.0,0,No Difference
58,1.0,3.0,67,Medium Difference
59,1.0,5.0,80,Medium Difference
60,5.0,3.0,40,Medium Difference
61,1.0,1.0,0,No Difference
62,5.0,5.0,0,No Difference
63,5.0,5.0,0,No Difference
64,5.0,5.0,0,No Difference
65,4.0,4.0,0,No Difference
66,1.0,3.0,67,Medium Difference
67,5.0,5.0,0,No Difference
68,4.0,5.0,20,Medium Difference
69,1.0,5.0,80,Medium Difference
70,4.0,5.0,20,Medium Difference
71,4.0,5.0,20,Medium Difference
72,5.0,5.0,0,No Difference
73,1.0,3.0,67,Medium Difference
74,1.0,1.0,0,No Difference
75,1.0,5.0,80,Medium Difference
76,5.0,5.0,0,No Difference
77,5.0,5.0,0,No Difference
78,4.0,5.0,20,Medium Difference
79,1.0,5.0,80,Medium Difference
80,1.0,5.0,80,Medium Difference
81,4.0,3.0,25,Medium Difference
82,5.0,5.0,0,No Difference
83,1.0,3.0,67,Medium Difference
84,5.0,3.0,40,Medium Difference
85,1.0,1.0,0,No Difference
86,4.0,4.0,0,No Difference
87,5.0,5.0,0,No Difference
88,4.0,4.0,0,No Difference
89,1.0,5.0,80,Medium Difference
90,1.0,3.0,67,Medium Difference
91,5.0,3.0,40,Medium Difference
92,5.0,4.0,20,Medium Difference
93,5.0,5.0,0,No Difference
94,5.0,5.0,0,No Difference
95,5.0,5.0,0,No Difference
96,5.0,5.0,0,No Difference
97,1.0,1.0,0,No Difference
98,5.0,5.0,0,No Difference
99,2.0,5.0,60,Medium Difference
100,5.0,3.0,40,Medium Difference
101,5.0,5.0,0,No Difference
102,5.0,5.0,0,No Difference
103,3.0,5.0,40,Medium Difference
104,5.0,5.0,0,No Difference
105,2.0,5.0,60,Medium Difference
106,5.0,5.0,0,No Difference
107,5.0,5.0,0,No Difference
108,5.0,5.0,0,No Difference
109,1.0,3.0,67,Medium Difference
110,3.0,5.0,40,Medium Difference
111,3.0,5.0,40,Medium Difference
112,1.0,5.0,80,Medium Difference
113,5.0,5.0,0,No Difference
114,1.0,5.0,80,Medium Difference
115,2.0,5.0,60,Medium Difference
116,1.0,3.0,67,Medium Difference
117,2.0,5.0,60,Medium Difference
118,4.0,5.0,20,Medium Difference
119,1.0,5.0,80,Medium Difference
120,5.0,5.0,0,No Difference
121,1.0,3.0,67,Medium Difference
122,4.0,5.0,20,Medium Difference
123,5.0,3.0,40,Medium Difference
124,4.0,5.0,20,Medium Difference
125,1.0,5.0,80,Medium Difference
126,4.0,5.0,20,Medium Difference
127,5.0,5.0,0,No Difference
128,5.0,3.0,40,Medium Difference
129,5.0,5.0,0,No Difference
130,5.0,5.0,0,No Difference
131,2.0,5.0,60,Medium Difference
132,5.0,5.0,0,No Difference
133,1.0,5.0,80,Medium Difference
134,4.0,5.0,20,Medium Difference
135,5.0,5.0,0,No Difference
136,1.0,3.0,67,Medium Difference
137,5.0,5.0,0,No Difference
138,5.0,5.0,0,No Difference
139,5.0,5.0,0,No Difference
140,5.0,5.0,0,No Difference
141,4.0,5.0,20,Medium Difference
142,5.0,5.0,0,No Difference
143,5.0,5.0,0,No Difference
144,5.0,4.0,20,Medium Difference
145,1.0,3.0,67,Medium Difference
146,5.0,5.0,0,No Difference
147,2.0,3.0,33,Medium Difference
148,4.0,4.0,0,No Difference
149,5.0,5.0,0,No Difference
150,5.0,5.0,0,No Difference
151,5.0,5.0,0,No Difference
152,5.0,3.0,40,Medium Difference
153,4.0,5.0,20,Medium Difference
154,3.0,5.0,40,Medium Difference
155,5.0,5.0,0,No Difference
156,5.0,5.0,0,No Difference
157,1.0,3.0,67,Medium Difference
158,5.0,5.0,0,No Difference
159,4.0,5.0,20,Medium Difference
160,5.0,5.0,0,No Difference
161,5.0,5.0,0,No Difference
162,5.0,5.0,0,No Difference
163,5.0,5.0,0,No Difference
164,3.0,5.0,40,Medium Difference
165,3.0,5.0,40,Medium Difference
166,5.0,5.0,0,No Difference
167,4.0,4.0,0,No Difference
168,5.0,5.0,0,No Difference
169,1.0,3.0,67,Medium Difference
170,5.0,5.0,0,No Difference
171,5.0,3.0,40,Medium Difference
172,5.0,1.0,80,Medium Difference
173,5.0,5.0,0,No Difference
174,5.0,3.0,40,Medium Difference
175,5.0,5.0,0,No Difference
176,1.0,5.0,80,Medium Difference
177,5.0,5.0,0,No Difference
178,1.0,5.0,80,Medium Difference
179,5.0,5.0,0,No Difference
180,5.0,5.0,0,No Difference
181,1.0,5.0,80,Medium Difference
182,5.0,5.0,0,No Difference
183,4.0,5.0,20,Medium Difference
184,5.0,5.0,0,No Difference
185,4.0,5.0,20,Medium Difference
186,1.0,5.0,80,Medium Difference
187,4.0,3.0,25,Medium Difference
188,5.0,5.0,0,No Difference
189,5.0,5.0,0,No Difference
190,4.0,5.0,20,Medium Difference
191,4.0,5.0,20,Medium Difference
192,5.0,5.0,0,No Difference
193,1.0,3.0,67,Medium Difference
194,2.0,5.0,60,Medium Difference
195,5.0,5.0,0,No Difference
196,4.0,2.0,50,Medium Difference
197,3.0,3.0,0,No Difference
198,4.0,5.0,20,Medium Difference
199,3.0,5.0,40,Medium Difference
200,1.0,3.0,67,Medium Difference
201,5.0,5.0,0,No Difference
202,5.0,5.0,0,No Difference
203,5.0,5.0,0,No Difference
204,5.0,5.0,0,No Difference
205,1.0,3.0,67,Medium Difference
206,5.0,5.0,0,No Difference
207,5.0,5.0,0,No Difference
208,5.0,5.0,0,No Difference
209,5.0,5.0,0,No Difference
210,1.0,5.0,80,Medium Difference
211,4.0,5.0,20,Medium Difference
212,5.0,5.0,0,No Difference
213,5.0,5.0,0,No Difference
214,4.0,5.0,20,Medium Difference
215,5.0,5.0,0,No Difference
216,5.0,5.0,0,No Difference
217,1.0,5.0,80,Medium Difference
218,4.0,3.0,25,Medium Difference
219,2.0,5.0,60,Medium Difference
220,5.0,5.0,0,No Difference
221,5.0,5.0,0,No Difference
222,4.0,5.0,20,Medium Difference
223,5.0,5.0,0,No Difference
224,4.0,5.0,20,Medium Difference
225,5.0,5.0,0,No Difference
226,5.0,5.0,0,No Difference
227,5.0,5.0,0,No Difference
228,5.0,5.0,0,No Difference
229,1.0,5.0,80,Medium Difference
230,5.0,5.0,0,No Difference
231,5.0,3.0,40,Medium Difference
232,5.0,5.0,0,No Difference
233,5.0,5.0,0,No Difference
234,5.0,5.0,0,No Difference
235,5.0,5.0,0,No Difference
236,4.0,3.0,25,Medium Difference
237,4.0,4.0,0,No Difference
238,5.0,1.0,80,Medium Difference
239,5.0,5.0,0,No Difference
240,5.0,5.0,0,No Difference
241,1.0,3.0,67,Medium Difference
242,1.0,1.0,0,No Difference
243,3.0,4.0,25,Medium Difference
244,5.0,3.0,40,Medium Difference
245,5.0,5.0,0,No Difference
246,5.0,5.0,0,No Difference
247,5.0,5.0,0,No Difference
248,4.0,2.0,50,Medium Difference
249,5.0,5.0,0,No Difference
250,5.0,5.0,0,No Difference
251,5.0,5.0,0,No Difference
252,5.0,5.0,0,No Difference
253,1.0,2.0,50,Medium Difference
254,5.0,5.0,0,No Difference
255,4.0,4.0,0,No Difference
256,3.0,5.0,40,Medium Difference
257,5.0,5.0,0,No Difference
258,5.0,3.0,40,Medium Difference
259,3.0,5.0,40,Medium Difference
260,5.0,5.0,0,No Difference
261,1.0,5.0,80,Medium Difference
262,5.0,5.0,0,No Difference
263,3.0,4.0,25,Medium Difference
264,5.0,5.0,0,No Difference
265,1.0,3.0,67,Medium Difference
266,4.0,4.0,0,No Difference
267,4.0,4.0,0,No Difference
268,3.0,4.0,25,Medium Difference
269,5.0,3.0,40,Medium Difference
270,5.0,5.0,0,No Difference
271,5.0,5.0,0,No Difference
272,5.0,5.0,0,No Difference
273,5.0,5.0,0,No Difference
274,4.0,4.0,0,No Difference
275,5.0,3.0,40,Medium Difference
276,5.0,5.0,0,No Difference
277,1.0,3.0,67,Medium Difference
278,5.0,3.0,40,Medium Difference
279,5.0,5.0,0,No Difference
280,5.0,5.0,0,No Difference
281,4.0,5.0,20,Medium Difference
282,3.0,5.0,40,Medium Difference
283,5.0,5.0,0,No Difference
284,5.0,5.0,0,No Difference
285,4.0,5.0,20,Medium Difference
286,1.0,1.0,0,No Difference
287,5.0,3.0,40,Medium Difference
288,5.0,3.0,40,Medium Difference
289,1.0,3.0,67,Medium Difference
290,1.0,2.0,50,Medium Difference
291,1.0,5.0,80,Medium Difference
292,3.0,5.0,40,Medium Difference
293,1.0,1.0,0,No Difference
294,3.0,4.0,25,Medium Difference
295,1.0,5.0,80,Medium Difference
296,5.0,5.0,0,No Difference
297,4.0,5.0,20,Medium Difference
298,1.0,3.0,67,Medium Difference
299,5.0,5.0,0,No Difference
300,5.0,5.0,0,No Difference
301,1.0,3.0,67,Medium Difference
302,5.0,5.0,0,No Difference
303,5.0,5.0,0,No Difference
304,2.0,5.0,60,Medium Difference
305,4.0,5.0,20,Medium Difference
306,1.0,3.0,67,Medium Difference
307,1.0,3.0,67,Medium Difference
308,2.0,5.0,60,Medium Difference
309,1.0,5.0,80,Medium Difference
310,1.0,5.0,80,Medium Difference
311,4.0,4.0,0,No Difference
312,5.0,3.0,40,Medium Difference
313,1.0,5.0,80,Medium Difference
314,1.0,3.0,67,Medium Difference
315,5.0,5.0,0,No Difference
316,1.0,5.0,80,Medium Difference
317,4.0,4.0,0,No Difference
318,5.0,5.0,0,No Difference
319,1.0,5.0,80,Medium Difference
320,4.0,5.0,20,Medium Difference
321,1.0,3.0,67,Medium Difference
322,1.0,3.0,67,Medium Difference
323,1.0,5.0,80,Medium Difference
324,5.0,3.0,40,Medium Difference
325,1.0,3.0,67,Medium Difference
326,1.0,5.0,80,Medium Difference
327,5.0,5.0,0,No Difference
328,1.0,3.0,67,Medium Difference
329,5.0,5.0,0,No Difference
330,5.0,3.0,40,Medium Difference
331,5.0,5.0,0,No Difference
332,2.0,5.0,60,Medium Difference
333,1.0,5.0,80,Medium Difference
334,3.0,5.0,40,Medium Difference
335,1.0,5.0,80,Medium Difference
336,5.0,5.0,0,No Difference
337,1.0,3.0,67,Medium Difference
338,5.0,5.0,0,No Difference
339,5.0,5.0,0,No Difference
340,3.0,3.0,0,No Difference
341,5.0,3.0,40,Medium Difference
342,1.0,3.0,67,Medium Difference
343,3.0,5.0,40,Medium Difference
344,5.0,5.0,0,No Difference
345,3.0,5.0,40,Medium Difference
346,1.0,5.0,80,Medium Difference
347,5.0,5.0,0,No Difference
348,5.0,5.0,0,No Difference
